Symbol,ID,Exp Log Ratio,Exp p-value,Exp False Discovery Rate (q-value),Entrez Gene Name
ABCC4,ENSG00000125257,0.245,4.04E-01,8.31E-01,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
ABCC5,ENSG00000114770,0.138,6.72E-01,9.41E-01,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"
ABCC5-AS1,ENSG00000223882, , , ,ABCC5 antisense RNA 1
ABCC6,ENSG00000091262,-0.247,6.27E-01,9.26E-01,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"
ABCC6P1,ENSG00000256340,-0.647,1.60E-01,6.23E-01,"ATP-binding cassette, sub-family C, member 6 pseudogene 1 (functional)"
ABCC6P2,ENSG00000255277,0.087,8.79E-01,9.84E-01,"ATP-binding cassette, sub-family C, member 6 pseudogene 2"
ABCC8,ENSG00000006071,0.075,9.21E-01,9.91E-01,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
ABCC9,ENSG00000069431,-0.128,8.00E-01,9.70E-01,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
ABCD1,ENSG00000101986,0.612,8.73E-02,4.86E-01,"ATP-binding cassette, sub-family D (ALD), member 1"
ABCD1P2,ENSG00000215151, , , ,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2"
ABCD1P3,ENSG00000261233, , , ,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3"
ABCD1P4,ENSG00000225293, , , ,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4"
ABCD1P5,ENSG00000214330, , , ,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5"
ABCD2,ENSG00000173208,-0.981,1.25E-01,5.66E-01,"ATP-binding cassette, sub-family D (ALD), member 2"
ABCD3,ENSG00000117528,-0.319,1.06E-01,5.30E-01,"ATP-binding cassette, sub-family D (ALD), member 3"
ABCD4,ENSG00000119688,-0.273,1.59E-01,6.22E-01,"ATP-binding cassette, sub-family D (ALD), member 4"
ABCE1,ENSG00000164163,0.431,1.31E-01,5.75E-01,"ATP-binding cassette, sub-family E (OABP), member 1"
ABCF1,ENSG00000204574,0.099,7.22E-01,9.53E-01,"ATP-binding cassette, sub-family F (GCN20), member 1"
ABCF1,ENSG00000206490, , , ,"ATP-binding cassette, sub-family F (GCN20), member 1"
ABCF1,ENSG00000225989, , , ,"ATP-binding cassette, sub-family F (GCN20), member 1"
ABCF1,ENSG00000236342, , , ,"ATP-binding cassette, sub-family F (GCN20), member 1"
ABCF1,ENSG00000232169, , , ,"ATP-binding cassette, sub-family F (GCN20), member 1"
ABCF1,ENSG00000231129, , , ,"ATP-binding cassette, sub-family F (GCN20), member 1"
ABCF1,ENSG00000236149, , , ,"ATP-binding cassette, sub-family F (GCN20), member 1"
ABCF2,ENSG00000033050,0.445,6.57E-02,4.29E-01,"ATP-binding cassette, sub-family F (GCN20), member 2"
ABCF2P1,ENSG00000242159,0.159,8.40E-01, ,"ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 1"
ABCF2P2,ENSG00000228769, , , ,"ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 2"
ABCF3,ENSG00000161204,0.273,1.78E-01,6.48E-01,"ATP-binding cassette, sub-family F (GCN20), member 3"
ABCG1,ENSG00000160179,-0.297,5.76E-01,9.09E-01,"ATP-binding cassette, sub-family G (WHITE), member 1"
ABCG2,ENSG00000118777,1.656,2.90E-02,2.84E-01,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)"
ABCG4,ENSG00000172350,0.242,7.12E-01,9.51E-01,"ATP-binding cassette, sub-family G (WHITE), member 4"
ABCG5,ENSG00000138075,-0.34,5.99E-01, ,"ATP-binding cassette, sub-family G (WHITE), member 5"
ABCG8,ENSG00000143921,0.91,2.32E-01, ,"ATP-binding cassette, sub-family G (WHITE), member 8"
ABHD1,ENSG00000143994,-0.265,7.12E-01, ,abhydrolase domain containing 1
ABHD10,ENSG00000144827,-0.305,2.12E-01,6.85E-01,abhydrolase domain containing 10
ABHD11,ENSG00000106077,-0.195,3.98E-01,8.29E-01,abhydrolase domain containing 11
ABHD11-AS1,ENSG00000225969,1.224,1.16E-01, ,ABHD11 antisense RNA 1 (tail to tail)
ABHD12,ENSG00000100997,0.277,1.81E-01,6.51E-01,abhydrolase domain containing 12
ABHD12B,ENSG00000131969,1.26,9.11E-02, ,abhydrolase domain containing 12B
ABHD13,ENSG00000139826,0.099,6.21E-01,9.25E-01,abhydrolase domain containing 13
ABHD14A,ENSG00000248487,-0.471,1.45E-01,5.99E-01,abhydrolase domain containing 14A
ABHD14A-ACY1,ENSG00000114786,0.534,4.12E-01, ,ABHD14A-ACY1 readthrough
ABHD14B,ENSG00000114779,0.516,3.07E-01,7.71E-01,abhydrolase domain containing 14B
ABHD15,ENSG00000168792,0.081,8.68E-01,9.82E-01,abhydrolase domain containing 15
ABHD15-AS1,ENSG00000264031,0.754,3.38E-01, , 
ABHD16A,ENSG00000204427,-0.193,3.62E-01,8.09E-01,abhydrolase domain containing 16A
ABHD16A,ENSG00000230475, , , ,abhydrolase domain containing 16A
ABHD16A,ENSG00000236063, , , ,abhydrolase domain containing 16A
ABHD16A,ENSG00000231488, , , ,abhydrolase domain containing 16A
ABHD16A,ENSG00000235676, , , ,abhydrolase domain containing 16A
ABHD16A,ENSG00000206403, , , ,abhydrolase domain containing 16A
ABHD16A,ENSG00000224552, , , ,abhydrolase domain containing 16A
ABHD16B,ENSG00000183260,0.301,5.46E-01, ,abhydrolase domain containing 16B
ABHD17A,ENSG00000129968,-0.009,9.61E-01,9.96E-01,abhydrolase domain containing 17A
ABHD17AP1,ENSG00000198658, , , ,abhydrolase domain containing 17A pseudogene 1
ABHD17AP3,ENSG00000250536,-0.047,9.32E-01, ,abhydrolase domain containing 17A pseudogene 3
ABHD17AP4,ENSG00000229107, , , ,abhydrolase domain containing 17A pseudogene P4
ABHD17AP6,ENSG00000226981,-0.376,4.48E-01, ,abhydrolase domain containing 17A pseudogene 6
ABHD17AP9,ENSG00000261536, , , ,abhydrolase domain containing 17A pseudogene 9
ABHD17B,ENSG00000107362,-0.496,1.53E-01,6.12E-01,abhydrolase domain containing 17B
ABHD17C,ENSG00000136379,0.339,3.14E-01,7.75E-01,abhydrolase domain containing 17C
ABHD18,ENSG00000164074,-0.083,6.04E-01,9.18E-01,abhydrolase domain containing 18
ABHD2,ENSG00000140526,0.412,2.67E-01,7.38E-01,abhydrolase domain containing 2
ABHD3,ENSG00000158201,-0.654,8.10E-02,4.70E-01,abhydrolase domain containing 3
ABHD4,ENSG00000100439,0.274,5.78E-01,9.09E-01,abhydrolase domain containing 4
ABHD5,ENSG00000011198,0.112,6.90E-01,9.46E-01,abhydrolase domain containing 5
ABHD6,ENSG00000163686,-0.247,5.72E-01,9.08E-01,abhydrolase domain containing 6
ABHD8,ENSG00000127220,-0.114,6.23E-01,9.25E-01,abhydrolase domain containing 8
ABI1,ENSG00000136754,-0.022,9.35E-01,9.92E-01,abl-interactor 1
ABI2,ENSG00000138443,-0.252,3.82E-01,8.19E-01,abl-interactor 2
ABI3,ENSG00000108798,0.57,4.74E-01, ,"ABI family, member 3"
ABI3BP,ENSG00000154175,1.889,8.20E-03,1.43E-01,"ABI family, member 3 (NESH) binding protein"
ABL1,ENSG00000097007,0.576,1.46E-01,6.01E-01,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL2,ENSG00000143322,0.938,6.19E-03,1.22E-01,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
ABLIM1,ENSG00000099204,0.513,2.64E-01,7.35E-01,actin binding LIM protein 1
ABLIM2,ENSG00000163995,-0.246,6.91E-01,9.46E-01,"actin binding LIM protein family, member 2"
ABLIM3,ENSG00000173210,0.46,5.08E-01,8.78E-01,"actin binding LIM protein family, member 3"
ABO,ENSG00000175164,0.448,5.51E-01, ,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
ABR,ENSG00000159842,0.299,1.12E-01,5.44E-01,active BCR-related
ABRA,ENSG00000174429,-0.046,9.36E-01, ,actin binding Rho activating protein
ABRACL,ENSG00000146386,0.316,3.42E-01,7.98E-01,ABRA C-terminal like
ABT1,ENSG00000146109,0.095,6.92E-01,9.46E-01,activator of basal transcription 1
ABT1P1,ENSG00000250496,-0.052,9.27E-01, ,activator of basal transcription 1 pseudogene 1
ABTB1,ENSG00000114626,0.074,7.83E-01,9.67E-01,ankyrin repeat and BTB (POZ) domain containing 1
ABTB2,ENSG00000166016,-0.148,7.85E-01,9.68E-01,ankyrin repeat and BTB (POZ) domain containing 2
ACAA1,ENSG00000060971,-0.038,8.83E-01,9.85E-01,acetyl-CoA acyltransferase 1
ACAA2,ENSG00000167315,0.453,3.63E-01,8.10E-01,acetyl-CoA acyltransferase 2
ACACB,ENSG00000076555,-0.909,4.39E-02,3.49E-01,acetyl-CoA carboxylase beta
ACAD10,ENSG00000111271,-0.267,2.91E-01,7.59E-01,"acyl-CoA dehydrogenase family, member 10"
ACAD11,ENSG00000240303,-0.251,4.89E-01,8.71E-01,"acyl-CoA dehydrogenase family, member 11"
ACAD8,ENSG00000151498,-0.198,2.18E-01,6.92E-01,"acyl-CoA dehydrogenase family, member 8"
ACAD9,ENSG00000177646,0.083,6.86E-01,9.44E-01,"acyl-CoA dehydrogenase family, member 9"
ACADL,ENSG00000115361,0.074,8.88E-01,9.86E-01,"acyl-CoA dehydrogenase, long chain"
ACADM,ENSG00000117054,-0.636,1.65E-03,5.38E-02,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"
ACADS,ENSG00000122971,0.141,6.90E-01,9.46E-01,"acyl-CoA dehydrogenase, C-2 to C-3 short chain"
ACADSB,ENSG00000196177,-0.485,5.68E-02,3.97E-01,"acyl-CoA dehydrogenase, short/branched chain"
ACADVL,ENSG00000072778,0.021,9.51E-01,9.95E-01,"acyl-CoA dehydrogenase, very long chain"
ACAN,ENSG00000157766,1.068, , ,aggrecan
ACAP1,ENSG00000072818,-0.436,4.03E-01,8.30E-01,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
ACAP2,ENSG00000114331,0.255,3.82E-01,8.19E-01,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
ACAP2-IT1,ENSG00000229325,0.147,7.85E-01,9.68E-01,ACAP2 intronic transcript 1
ACAP3,ENSG00000131584,-0.388,2.77E-01,7.47E-01,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
ACAT1,ENSG00000075239,-0.106,7.00E-01,9.47E-01,acetyl-CoA acetyltransferase 1
ACAT2,ENSG00000120437,-0.053,8.96E-01,9.87E-01,acetyl-CoA acetyltransferase 2
ACBD3,ENSG00000182827,0.393,2.76E-01,7.47E-01,acyl-CoA binding domain containing 3
ACBD4,ENSG00000181513,-0.425,1.42E-01,5.94E-01,acyl-CoA binding domain containing 4
ACBD5,ENSG00000107897,-0.394,2.91E-01,7.59E-01,acyl-CoA binding domain containing 5
ACBD7,ENSG00000176244,-1.654,2.92E-04,1.66E-02,acyl-CoA binding domain containing 7
ACCS,ENSG00000110455,-0.307, , ,1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)
ACCSL,ENSG00000205126,0.496,5.02E-01, ,1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like
ACD,ENSG00000102977,-0.314,1.82E-01,6.52E-01,adrenocortical dysplasia homolog (mouse)
ACE,ENSG00000159640,0.256,6.61E-01,9.38E-01,angiotensin I converting enzyme
ACE2,ENSG00000130234,-0.134,8.44E-01,9.77E-01,angiotensin I converting enzyme 2
ACE3P,ENSG00000224353, , , ,"angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene"
ACER1,ENSG00000167769,1.257,1.13E-01, ,alkaline ceramidase 1
ACER2,ENSG00000177076,0.055,9.03E-01,9.88E-01,alkaline ceramidase 2
ACER3,ENSG00000078124,-0.473,8.57E-02,4.82E-01,alkaline ceramidase 3
ACHE,ENSG00000087085,1.147,4.78E-02,3.64E-01,acetylcholinesterase (Yt blood group)
ACIN1,ENSG00000100813,-0.16,3.10E-01,7.74E-01,apoptotic chromatin condensation inducer 1
ACKR1,ENSG00000213088,-0.316,5.97E-01,9.15E-01,atypical chemokine receptor 1 (Duffy blood group)
ACKR2,ENSG00000144648,-0.565,1.95E-01,6.66E-01,atypical chemokine receptor 2
ACKR2,ENSG00000273328,0.108,8.49E-01,9.78E-01,atypical chemokine receptor 2
ACKR3,ENSG00000144476,0.148,7.76E-01,9.66E-01,atypical chemokine receptor 3
ACKR4,ENSG00000129048,-1.705, , ,atypical chemokine receptor 4
ACLY,ENSG00000131473,0.132,4.57E-01,8.56E-01,ATP citrate lyase
ACMSD,ENSG00000153086, , , ,aminocarboxymuconate semialdehyde decarboxylase
ACO1,ENSG00000122729,0.546,1.27E-01,5.70E-01,"aconitase 1, soluble"
ACO2,ENSG00000100412,-0.231,3.44E-01,7.98E-01,"aconitase 2, mitochondrial"
ACOT1,ENSG00000184227,0.395,4.82E-01,8.66E-01,acyl-CoA thioesterase 1
ACOT11,ENSG00000162390,-0.854,1.11E-01,5.42E-01,acyl-CoA thioesterase 11
ACOT12,ENSG00000172497,0.687,2.59E-01,7.31E-01,acyl-CoA thioesterase 12
ACOT13,ENSG00000112304,-0.387,3.12E-01,7.75E-01,acyl-CoA thioesterase 13
ACOT2,ENSG00000119673,0.675,2.72E-01,7.43E-01,acyl-CoA thioesterase 2
ACOT4,ENSG00000177465,0.901,1.57E-01,6.18E-01,acyl-CoA thioesterase 4
ACOT6,ENSG00000205669,-1.837,2.04E-02, ,acyl-CoA thioesterase 6
ACOT7,ENSG00000097021,0.22,6.38E-01,9.31E-01,acyl-CoA thioesterase 7
ACOT8,ENSG00000101473,0.105,6.16E-01,9.23E-01,acyl-CoA thioesterase 8
ACOT9,ENSG00000123130,0.356,4.42E-01,8.50E-01,acyl-CoA thioesterase 9
ACOX1,ENSG00000161533,-0.317,4.06E-01,8.32E-01,"acyl-CoA oxidase 1, palmitoyl"
ACOX2,ENSG00000168306,0.413,4.89E-01,8.71E-01,"acyl-CoA oxidase 2, branched chain"
ACOX3,ENSG00000087008,0.699,1.46E-02,1.95E-01,"acyl-CoA oxidase 3, pristanoyl"
ACOXL,ENSG00000153093,0.01,9.90E-01, ,acyl-CoA oxidase-like
ACP1,ENSG00000143727,0.032,8.44E-01,9.77E-01,"acid phosphatase 1, soluble"
ACP2,ENSG00000134575,0.146,5.52E-01,8.99E-01,"acid phosphatase 2, lysosomal"
ACP5,ENSG00000102575,1.983,6.98E-03, ,"acid phosphatase 5, tartrate resistant"
ACP6,ENSG00000162836,0.133,7.68E-01,9.64E-01,"acid phosphatase 6, lysophosphatidic"
ACPP,ENSG00000014257,2.186,4.32E-03,9.95E-02,"acid phosphatase, prostate"
ACPT,ENSG00000142513,0.307,5.41E-01, ,"acid phosphatase, testicular"
ACR,ENSG00000100312,-0.254,6.77E-01, ,acrosin
ACRBP,ENSG00000111644,-0.544,2.82E-01,7.51E-01,acrosin binding protein
ACRC,ENSG00000147174,0.445,1.83E-01,6.53E-01,acidic repeat containing
ACRV1,ENSG00000134940,0.534,4.69E-01, ,acrosomal vesicle protein 1
ACSBG1,ENSG00000103740,-0.618,2.32E-01,7.11E-01,acyl-CoA synthetase bubblegum family member 1
ACSBG2,ENSG00000130377,0.378,6.00E-01, ,acyl-CoA synthetase bubblegum family member 2
ACSF2,ENSG00000167107,0.374,4.88E-01,8.70E-01,acyl-CoA synthetase family member 2
ACSF3,ENSG00000176715,-0.071,7.29E-01,9.54E-01,acyl-CoA synthetase family member 3
ACSL1,ENSG00000151726,0.681,3.51E-02,3.15E-01,acyl-CoA synthetase long-chain family member 1
ACSL3,ENSG00000123983,0.533,9.17E-02,4.97E-01,acyl-CoA synthetase long-chain family member 3
ACSL4,ENSG00000068366,0.534,2.73E-01,7.44E-01,acyl-CoA synthetase long-chain family member 4
ACSL5,ENSG00000197142,1.682,3.44E-02, ,acyl-CoA synthetase long-chain family member 5
ACSL6,ENSG00000164398,0.304,6.46E-01,9.33E-01,acyl-CoA synthetase long-chain family member 6
ACSM1,ENSG00000166743,-1.412,6.56E-02, ,acyl-CoA synthetase medium-chain family member 1
ACSM2A,ENSG00000183747,0.448,5.39E-01, ,acyl-CoA synthetase medium-chain family member 2A
ACSM2B,ENSG00000066813,0.307,5.41E-01, ,acyl-CoA synthetase medium-chain family member 2B
ACSM3,ENSG00000005187,-0.459,3.61E-01,8.09E-01,acyl-CoA synthetase medium-chain family member 3
ACSM4,ENSG00000215009,0.293,5.52E-01, ,acyl-CoA synthetase medium-chain family member 4
ACSM5,ENSG00000183549,-0.171,8.30E-01, ,acyl-CoA synthetase medium-chain family member 5
ACSM5P1,ENSG00000260762,0.307,5.41E-01, ,acyl-CoA synthetase medium-chain family member 5 pseudogene 1
ACSM6,ENSG00000173124, , , ,acyl-CoA synthetase medium-chain family member 6
ACSS1,ENSG00000154930,-1.907,2.60E-03,7.31E-02,acyl-CoA synthetase short-chain family member 1
ACSS2,ENSG00000131069,0.261,2.68E-01,7.39E-01,acyl-CoA synthetase short-chain family member 2
ACSS3,ENSG00000111058,-0.176,7.79E-01,9.66E-01,acyl-CoA synthetase short-chain family member 3
ACTA1,ENSG00000143632,0.244,7.58E-01,9.61E-01,"actin, alpha 1, skeletal muscle"
ACTA2,ENSG00000107796,2.647,7.18E-07,1.47E-04,"actin, alpha 2, smooth muscle, aorta"
ACTA2-AS1,ENSG00000180139,0.746,2.59E-01,7.31E-01,ACTA2 antisense RNA 1
ACTB,ENSG00000075624,0.204,4.27E-01,8.44E-01,"actin, beta"
ACTBL2,ENSG00000169067,4.182,5.38E-09,2.61E-06,"actin, beta-like 2"
ACTBP1,ENSG00000229145, , , ,"actin, beta pseudogene 1"
ACTBP11,ENSG00000188460,0.307,5.41E-01, ,"actin, beta pseudogene 11"
ACTBP12,ENSG00000233125,-0.648,2.58E-01,7.30E-01,"actin, beta pseudogene 12"
ACTBP13,ENSG00000234667,0.141,8.55E-01, ,"actin, beta pseudogene 13"
ACTBP14,ENSG00000229001,-0.644,3.79E-01, ,"actin, beta pseudogene 14"
ACTBP2,ENSG00000213763,0.173,8.28E-01, ,"actin, beta pseudogene 2"
ACTBP6,ENSG00000203413,0.049,9.47E-01, ,"actin, beta pseudogene 6"
ACTBP7,ENSG00000185607,1.019,9.08E-02,4.96E-01,"actin, beta pseudogene 7"
ACTBP8,ENSG00000220267,0.325,6.52E-01, ,"actin, beta pseudogene 8"
ACTBP9,ENSG00000266920,-0.034,9.53E-01, ,"actin, beta pseudogene 9"
ACTC1,ENSG00000159251,-0.759, , ,"actin, alpha, cardiac muscle 1"
ACTG1,ENSG00000184009,0.087,7.48E-01,9.60E-01,actin gamma 1
ACTG1P1,ENSG00000178631,-0.324,4.71E-01,8.61E-01,actin gamma 1 pseudogene 1
ACTG1P10,ENSG00000231340, , , ,actin gamma 1 pseudogene 10
ACTG1P11,ENSG00000229465, , , ,actin gamma 1 pseudogene 11
ACTG1P12,ENSG00000226642,0.06,9.40E-01, ,actin gamma 1 pseudogene 12
ACTG1P13,ENSG00000241305, , , ,actin gamma 1 pseudogene 13
ACTG1P14,ENSG00000230581,0.381,4.52E-01,8.53E-01,actin gamma 1 pseudogene 14
ACTG1P17,ENSG00000259315,-0.856,5.19E-02,3.79E-01,actin gamma 1 pseudogene 17
ACTG1P2,ENSG00000229129, , , ,actin gamma 1 pseudogene 2
